Country,Year,Month,Name Of The Service Area Having Telephone Connections,"Total Telephone Connections  (UOM:Number), Scaling Factor:1000000"
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Haryana,26.91
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Himachal Pradesh,9.06
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Jammu & Kashmir,12.6
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Karnataka,69.12
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Kerala,44.04
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Madhya Pradesh,78.99
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Maharashtra,94.53
India,"Calendar Year (Jan - Dec), 2023","August, 2023",North East,12.58
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Odisha,34.05
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Punjab,36.42
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Rajasthan,65.47
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Tamil Nadu,80.08
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Uttar Pradesh (East),101.24
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Uttar Pradesh (West),63.3
India,"Calendar Year (Jan - Dec), 2023","August, 2023",West Bengal,57.06
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Kolkata,24.91
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Delhi,59.03
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Mumbai,37.23
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Andhra Pradesh,84.68
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Assam,25.57
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Bihar,93.59
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Gujarat,67.57
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Haryana,27.04
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Himachal Pradesh,9
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Jammu & Kashmir,12.71
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Karnataka,69.27
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Kerala,43.79
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Madhya Pradesh,78.85
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Maharashtra,94.09
India,"Calendar Year (Jan - Dec), 2023","July, 2023",North East,12.55
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Odisha,34
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Punjab,36.54
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Rajasthan,64.72
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Tamil Nadu,79.77
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Uttar Pradesh (East),101.06
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Uttar Pradesh (West),63.32
India,"Calendar Year (Jan - Dec), 2023","July, 2023",West Bengal,57.13
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Kolkata,24.84
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Delhi,58.54
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Mumbai,37.27
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Andhra Pradesh,84.93
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Assam,25.49
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Bihar,93.2
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Gujarat,67.51
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Haryana,26.98
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Himachal Pradesh,8.94
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Jammu & Kashmir,12.59
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Karnataka,68.93
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Kerala,43.68
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Madhya Pradesh,78.56
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Maharashtra,93.51
India,"Calendar Year (Jan - Dec), 2023","June, 2023",North East,12.52
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Odisha,33.83
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Punjab,36.56
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Rajasthan,64.65
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Tamil Nadu,79.48
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Uttar Pradesh (East),100.97
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Uttar Pradesh (West),63.18
India,"Calendar Year (Jan - Dec), 2023","June, 2023",West Bengal,56.94
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Kolkata,24.88
