time_id,location_id,service_id,value
1,1,1,129021.721723
2,1,1,150025.040015
3,1,1,76661.715029
4,1,1,89688.500546
5,1,1,137139.430629
6,1,1,133294.027829
7,1,1,74340.0858006
8,1,1,71586.52747480001
9,1,1,143938.45765
10,1,1,154614.302921
11,1,1,86094.182709
12,1,1,82051.62230932999
13,1,1,79257.5959
14,1,1,107027.74233899999
15,1,1,124591.04147334001
16,1,1,145473.30962706
17,1,1,99187.95443700001
18,1,1,93491.152118
19,1,1,120243.7845381
20,1,1,114699.4418557
21,1,1,103801.366099
22,1,1,110078.543759
23,1,1,138265.97226191498
24,1,1,132462.54883034
25,1,1,128017.369927
26,1,1,167165.47988994
27,1,1,175333.35178242
28,1,1,184349.95631283
29,1,1,156618.45068529
30,1,1,152433.76318618
31,1,1,175114.71436738002
32,1,1,174041.70985575998
33,1,1,163594.51649607002
34,1,1,171326.75932878
35,1,1,182388.36560052
36,1,1,179705.35316892
37,1,1,177510.48215784
38,1,1,191611.6209853
39,1,1,191231.2597195
40,1,1,177682.1673241
41,1,1,189020.61559903
42,1,1,186742.35004658002
43,1,1,193102.2292885
44,1,1,194874.6540388
45,1,1,190864.69580953
46,1,1,193010.63056954
47,1,1,185488.56111409998
48,1,1,188869.4511281
49,1,1,189900.17265710002
50,1,1,170325.979499
51,1,1,170423.806599
52,1,1,169026.017935
53,1,1,168180.93154000002
54,1,1,178649.012725
55,1,1,169726.70859300002
56,1,1,170187.92354299998
57,1,1,169774.828116
58,1,1,170625.94493
59,1,1,170943.27975
60,1,1,170148.45364000002
61,1,1,168021.410311
62,1,1,176197.16459200002
63,1,1,183786.476007
64,1,1,187732.273497
65,1,1,173582.75939700002
66,1,1,169869.491535
67,1,1,180992.622833
68,1,1,181502.761636
69,1,1,174440.591321
70,1,1,177909.103759
71,1,1,185725.821846
72,1,1,188316.295133
73,1,1,186404.189277
74,1,1,197563.58139200002
75,1,1,205972.550021
76,1,1,198871.276905
77,1,1,191064.483006
78,1,1,189931.88388500002
79,1,1,202532.519085
80,1,1,202369.087585
81,1,1,195780.40338099998
